2021-01-05T22:05:35-05:00	LopsidedGoodness	35209	9.809
2021-01-06T23:57:29-05:00	ProfuseHunter	43561	3.432
2021-01-13T10:08:54-05:00	SoftPopcorn	29547	1.414
2021-01-19T00:40:00-05:00	EfficientSorghum	30407	3.055
2021-01-21T05:17:05-05:00	NappyPartnership	28546	2.794
2021-02-03T20:04:39-05:00	SpectacularOccupation	21184	7.167
2021-02-05T17:08:19-05:00	EfficientSorghum	47016	1.426
2021-02-12T02:06:31-05:00	SoftPopcorn	24880	1.018
2021-02-12T15:48:30-05:00	LopsidedGoodness	32919	2.725
2021-02-16T11:29:48-05:00	SuperLogistics	12261	1.623
2021-02-23T02:16:44-05:00	DomineeringStool	33591	0.046
2021-03-03T23:39:24-05:00	SuperLogistics	12852	7.354
2021-03-11T19:52:42-05:00	KindheartedSabre	46670	6.979
2021-03-29T02:21:54-04:00	DomineeringStool	16713	2.216
2021-04-09T13:04:58-04:00	DisillusionedMailer	45605	2.365
2021-04-11T02:43:38-04:00	LopsidedGoodness	13751	2.049
2021-04-21T19:28:37-04:00	SpectacularOccupation	28786	8.884
2021-04-30T00:25:29-04:00	EfficientSorghum	40734	6.073
2021-04-30T13:42:39-04:00	ProfuseHunter	34780	9.081
2021-04-30T15:44:47-04:00	SlowGallery	25480	2.32
2021-04-30T16:20:24-04:00	ProfuseHunter	43528	5.134
2021-04-30T20:55:17-04:00	KindheartedSabre	39853	5.605
2021-05-09T04:37:30-04:00	BrawnyDimple	33853	1.083
2021-05-13T22:36:27-04:00	WiseGeneration	40764	8.14
2021-05-17T16:06:27-04:00	DisillusionedMailer	20240	3.354
2021-05-30T00:29:31-04:00	SpectacularOccupation	42763	5.53
2021-06-18T11:53:43-04:00	SoftPopcorn	22905	6.0
2021-07-02T10:31:02-04:00	ProfuseHunter	36756	9.401
2021-07-02T23:10:02-04:00	DomineeringStool	40058	9.03
2021-07-11T16:46:04-04:00	NappyPartnership	13281	1.534
2021-07-13T07:04:56-04:00	NappyPartnership	12809	4.825
2021-07-17T11:54:02-04:00	SoftPopcorn	43993	0.67
2021-08-21T19:01:34-04:00	GoofyLeisure	44600	7.993
2021-09-08T04:13:45-04:00	SuperLogistics	24015	6.119
2021-09-16T19:04:05-04:00	KindheartedSabre	31114	0.758
2021-09-25T06:31:45-04:00	GoofyLeisure	14196	2.1390000000000002
2021-10-04T10:29:44-04:00	EfficientSorghum	22341	9.399000000000001
2021-10-06T06:55:59-04:00	DomineeringStool	30966	4.131
2021-10-11T09:30:10-04:00	GrievingRestroom	35088	8.559
2021-10-11T16:02:33-04:00	SoftPopcorn	12082	8.342
2021-10-19T06:24:11-04:00	KindheartedSabre	39955	0.637
2021-10-22T04:33:52-04:00	DisillusionedMailer	19021	3.136
2021-10-27T02:25:17-04:00	DomineeringStool	12204	3.589
2021-11-18T10:38:52-05:00	DomineeringStool	38731	6.074
2021-11-23T17:53:59-05:00	ProfuseHunter	12283	5.1
2021-11-26T10:22:51-05:00	KindheartedSabre	29903	8.721
2021-12-08T03:28:28-05:00	GrievingRestroom	38505	9.481
2021-12-11T11:17:19-05:00	EfficientSorghum	48457	6.222
2021-12-20T23:05:09-05:00	GrievingRestroom	37286	0.853
2021-12-23T09:38:08-05:00	SlowGallery	39043	5.125
2022-01-06T18:26:34-05:00	WiseGeneration	28877	8.482
2022-01-07T04:35:07-05:00	GrievingRestroom	20865	6.059
2022-01-13T11:48:59-05:00	DomineeringStool	22197	8.134
2022-01-19T11:14:23-05:00	ProfuseHunter	21218	0.181
2022-01-21T07:50:34-05:00	KindheartedSabre	39276	1.683
2022-01-21T17:23:21-05:00	SoftPopcorn	19047	4.345
2022-01-29T20:52:15-05:00	LopsidedGoodness	35236	4.388
2022-02-02T07:57:41-05:00	DomineeringStool	11362	7.087
2022-02-12T20:54:28-05:00	GoofyLeisure	28855	6.483
2022-02-15T09:59:42-05:00	WiseGeneration	95876	4.718
2022-03-03T23:33:43-05:00	LopsidedGoodness	36090	2.414
2022-03-08T15:25:41-05:00	NappyPartnership	11929	7.659
2022-04-19T16:21:43-05:00	DomineeringStool	21677	8.021
2022-04-22T17:09:47-05:00	BrawnyDimple	26742	6.296
2022-05-02T16:38:55-05:00	DisillusionedMailer	19479	0.575
2022-05-07T11:41:48-05:00	DomineeringStool	36302	6.341
2022-05-29T14:53:56-05:00	SuperLogistics	17962	5.711
